SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
KR014817.1	costatus	Prochilodus	.	Prochilodontidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_037715.1	harttii	Prochilodus	.	Prochilodontidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KY358756.1	harttii	Prochilodus	.	Prochilodontidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_027689.1	argenteus	Prochilodus	.	Prochilodontidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KR014816.1	argenteus	Prochilodus	.	Prochilodontidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW541938.1	hypselonotus	Abramites	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_060323.1	hypselonotus	Abramites	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_034281.1	elongatus	Leporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KU980144.1	elongatus	Megaleporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KY825191.1	obtusidens	Megaleporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_034945.1	obtusidens	Megaleporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_025767.1	piavussu	Leporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KM886569.1	piavussu	Leporinus	.	Anostomidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
AB054130.1	macrolepidotus	Chalceus	.	Chalceidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_004700.1	macrolepidotus	Chalceus	.	Chalceidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MZ574075.1	borki	Knodus	.	Stevardiidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_070390.1	borki	Knodus	.	Stevardiidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_015750.1	astrigata	Lebiasina	.	Lebiasinidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
AP011995.1	astrigata	Lebiasina	.	Lebiasinidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_024941.1	brasiliensis	Salminus	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KM245047.1	brasiliensis	Salminus	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT428073.1	nattereri	Brycon	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_051927.1	nattereri	Brycon	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_024938.1	orbignyanus	Brycon	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KM245044.1	orbignyanus	Brycon	.	Bryconidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_044970.1	giton	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MF805815.1	giton	Deuterodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_057100.1	boehlkei	Thayeria	.	Characidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW366638.1	boehlkei	Thayeria	.	Characidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MN861079.1	palmeri	Nematobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT769327.1	herbertaxelrodi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_050876.1	herbertaxelrodi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW742324.1	armstrongi	Hemigrammus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_066991.1	armstrongi	Hemigrammus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW742322.1	amapaensis	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
OQ857750.1	heterorhabdus	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_080887.1	heterorhabdus	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_028279.1	innesi	Paracheirodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KP013092.1	innesi	Paracheirodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_057167.1	kerri	Inpaichthys	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW342758.1	kerri	Inpaichthys	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_027946.1	bleheri	Hemigrammus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
LC074360.1	bleheri	Petitella	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW742323.1	socolofi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_066990.1	socolofi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_053878.1	megalopterus	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT185596.1	megalopterus	Megalamphodus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_056797.1	costae	Moenkhausia	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW366831.1	costae	Moenkhausia	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_022724.1	nana	Hasemania	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
AB861475.1	nana	Hasemania	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW742325.1	maxillaris	Pristella	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_066992.1	maxillaris	Pristella	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_042882.1	atracaudatus	Gephyrocharax	.	Stevardiidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MH636341.1	atracaudatus	Gephyrocharax	.	Stevardiidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT428067.1	lacustris	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_053756.1	lacustris	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT428072.1	altiparanae	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_053759.1	altiparanae	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_044969.1	argenteus	Oligosarcus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MF805814.1	argenteus	Oligosarcus	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_053758.1	fasciatus	Psalidodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT428071.1	fasciatus	Psalidodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MW768878.1	anisitsi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_066994.1	anisitsi	Hyphessobrycon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
KX609386.1	paranae	Psalidodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_031380.1	paranae	Astyanax	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
NC_053757.1	rivularis	Psalidodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
MT428069.1	rivularis	Psalidodon	.	Acestrorhamphidae	Characiformes	Actinopterygii	Chordata	Metazoa	complete
AB054133.1	chanos	Chanos	.	Chanidae	Gonorynchiformes	Actinopterygii	Chordata	Metazoa	complete
NC_004693.1	chanos	Chanos	.	Chanidae	Gonorynchiformes	Actinopterygii	Chordata	Metazoa	complete
AP004356.2	alosoides	Hiodon	.	Hiodontidae	Hiodontiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005145.1	alosoides	Hiodon	.	Hiodontidae	Hiodontiformes	Actinopterygii	Chordata	Metazoa	complete
NC_015082.1	tergisus	Hiodon	.	Hiodontidae	Hiodontiformes	Actinopterygii	Chordata	Metazoa	complete
AP009499.1	tergisus	Hiodon	.	Hiodontidae	Hiodontiformes	Actinopterygii	Chordata	Metazoa	complete
NC_035885.1	macrochir	Halosauropsis	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
AP018130.1	macrochir	Halosauropsis	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
NC_039136.1	oleosa	Aldrovandia	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
AP018343.1	oleosa	Aldrovandia	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005801.1	affinis	Aldrovandia	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
AP002974.1	affinis	Aldrovandia	.	Halosauridae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
MT027058.1	arrontei	Notacanthus	.	Notacanthidae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
NC_047186.1	bonaparte	Notacanthus	.	Notacanthidae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
AP018342.1	rissoanus	Polyacanthonotus	.	Notacanthidae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
NC_039135.1	rissoanus	Polyacanthonotus	.	Notacanthidae	Notacanthiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005796.1	gissu	Pterothrissus	.	Albulidae	Albuliformes	Actinopterygii	Chordata	Metazoa	complete
AB051197.2	gissu	Pterothrissus	.	Albulidae	Albuliformes	Actinopterygii	Chordata	Metazoa	partial
AP004807.1	saurus	Elops	.	Elopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005803.1	saurus	Elops	.	Elopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
AB051110.1	cyprinoides	Megalops	.	Megalopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005799.1	cyprinoides	Megalops	.	Megalopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
NC_005804.1	atlanticus	Megalops	.	Megalopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
AP004808.1	atlanticus	Megalops	.	Megalopidae	Elopiformes	Actinopterygii	Chordata	Metazoa	complete
AF302933.1	forsteri	Neoceratodus	.	Ceratodontidae	Ceratodontiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_003127.1	forsteri	Neoceratodus	.	Ceratodontidae	Ceratodontiformes	Sarcopterygii	Chordata	Metazoa	complete
AB042952.1	calva	Amia	.	Amiidae	Amiiformes	Actinopterygii	Chordata	Metazoa	complete
NC_004742.1	calva	Amia	.	Amiidae	Amiiformes	Actinopterygii	Chordata	Metazoa	complete
KJ531198.1	tropicus	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_024178.1	tropicus	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
KY581571.1	tristoechus	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_036329.1	tristoechus	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
AP004355.1	spatula	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
NC_008131.1	spatula	Atractosteus	.	Lepisosteidae	Semionotiformes	Actinopterygii	Chordata	Metazoa	complete
