SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
NC_010091.1	jubatus	Rhynochetos	.	Rhynochetidae	Eurypygiformes	Sarcopterygii	Chordata	Metazoa	complete
EF532933.1	jubatus	Rhynochetos	.	Rhynochetidae	Eurypygiformes	Sarcopterygii	Chordata	Metazoa	complete
KF644581.1	fulica	Heliornis	.	Heliornithidae	Gruiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025499.1	fulica	Heliornis	.	Heliornithidae	Gruiformes	Sarcopterygii	Chordata	Metazoa	complete
KT356220.1	epops	Upupa	.	Upupidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_028178.1	epops	Upupa	.	Upupidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
MN356260.1	cyanomelas	Rhinopomastus	.	Rhinopomastidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_052796.1	cyanomelas	Rhinopomastus	.	Rhinopomastidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025580.1	nisus	Accipiter	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KM360148.1	nisus	Accipiter	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029188.1	fasciatus	Hieraaetus	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KP329567.1	fasciatus	Hieraaetus	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
KP337337.1	lagopus	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029189.1	lagopus	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AF380305.2	buteo	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_003128.3	buteo	Buteo	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
OP133375.1	indus	Haliastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_066800.1	indus	Haliastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AB830616.1	indicus	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_032362.1	indicus	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
AB830617.1	liventer	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_032363.1	liventer	Butastur	.	Accipitridae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063526.1	burrovianus	Cathartes	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720441.1	burrovianus	Cathartes	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063525.1	atratus	Coragyps	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720440.1	atratus	Coragyps	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
MN720442.1	papa	Sarcoramphus	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063527.1	papa	Sarcoramphus	.	Cathartidae	Accipitriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_007172.2	melanophrys	Thalassarche	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
AY158677.2	melanophris	Thalassarche	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735514.1	albatrus	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_026190.1	albatrus	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_026189.1	immutabilis	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735513.1	immutabilis	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ735512.1	nigripes	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_026188.1	nigripes	Phoebastria	.	Diomedeidae	Procellariiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_027267.1	carbo	Phalacrocorax	.	Phalacrocoracidae	Suliformes	Sarcopterygii	Chordata	Metazoa	complete
KR215630.1	carbo	Phalacrocorax	.	Phalacrocoracidae	Suliformes	Sarcopterygii	Chordata	Metazoa	complete
KT626611.1	brasilianus	Phalacrocorax	.	Phalacrocoracidae	Suliformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029758.1	brasilianus	Nannopterum	.	Phalacrocoracidae	Suliformes	Sarcopterygii	Chordata	Metazoa	complete
MT483994.1	sphenurus	Treron	.	Columbidae	Columbiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_062674.1	sphenurus	Treron	.	Columbidae	Columbiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_015085.1	waldeni	Aceros	.	Bucerotidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
HQ834450.1	waldeni	Aceros	.	Bucerotidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
HQ834451.1	panini	Penelopides	.	Bucerotidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_015087.1	panini	Penelopides	.	Bucerotidae	Bucerotiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_088447.1	delicata	Gallinago	.	Scolopacidae	Charadriiformes	Sarcopterygii	Chordata	Metazoa	complete
OR242906.1	delicata	Gallinago	.	Scolopacidae	Charadriiformes	Sarcopterygii	Chordata	Metazoa	complete
AF338710.1	elegans	Eudromia	.	Tinamidae	Tinamiformes	Sarcopterygii	Chordata	Metazoa	partial
NC_002772.2	elegans	Eudromia	.	Tinamidae	Tinamiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_008549.1	azara	Pteroglossus	.	Ramphastidae	Piciformes	Sarcopterygii	Chordata	Metazoa	complete
DQ780882.1	azara	Pteroglossus	.	Ramphastidae	Piciformes	Sarcopterygii	Chordata	Metazoa	complete
KC545400.1	cincta	Notiomystis	.	Notiomystidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029140.1	cincta	Notiomystis	.	Notiomystidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
KC545406.1	philomelos	Turdus	.	Turdidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_029147.1	philomelos	Turdus	.	Turdidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_083486.1	echo	Psittacula	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
OY725455.1	echo	Psittacula	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
OR094904.1	livingstonii	Tauraco	.	Musophagidae	Musophagiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_081048.1	livingstonii	Tauraco	.	Musophagidae	Musophagiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_027840.1	ochrocephala	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
KM611467.1	ochrocephala	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_027846.1	luconensis	Prioniturus	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
KM611473.1	luconensis	Prioniturus	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MK759905.1	leucogaster	Pionites	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_044184.1	leucogaster	Pionites	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
KX925977.1	ventralis	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_034679.1	ventralis	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
OR063930.1	vinacea	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_080983.1	vinacea	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MN356210.1	guildingii	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_052783.1	guildingii	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_033336.1	aestiva	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
KT361659.1	aestiva	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MW151697.1	auropalliata	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_063712.1	auropalliata	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
OR209185.1	leucocephala	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_082164.1	leucocephala	Amazona	.	Psittacidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MH133971.1	roseicapilla	Eolophus	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_040154.1	roseicapillus	Eolophus	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MT920477.1	goffiniana	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_059712.1	goffiniana	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_040142.1	pastinator	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MH133973.1	pastinator	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MT920476.1	galerita	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_059711.1	galerita	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_059710.1	alba	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
MT920475.1	alba	Cacatua	.	Cacatuidae	Psittaciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_038220.1	scandiacus	Bubo	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
MG681084.1	scandiacus	Bubo	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_038219.1	bubo	Bubo	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
MG681083.1	bubo	Bubo	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_038218.1	uralensis	Strix	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
MG681081.1	uralensis	Strix	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
OP850567.1	aluco	Strix	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_072569.1	aluco	Strix	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_027606.1	flammeus	Asio	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
KP889214.1	flammeus	Asio	.	Strigidae	Strigiformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190952.1	bacchus	Ardeola	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025921.1	bacchus	Ardeola	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190953.1	striata	Butorides	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025922.1	striata	Butorides	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_028193.1	magnificus	Gorsachius	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KT364529.1	magnificus	Gorsachius	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190956.1	eurhythmus	Ixobrychus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025924.1	eurhythmus	Ixobrychus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190958.1	sinensis	Ixobrychus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025925.1	sinensis	Ixobrychus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190955.1	stellaris	Botaurus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025923.1	stellaris	Botaurus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025920.1	sacra	Egretta	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190951.1	sacra	Egretta	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KT364530.1	goisagi	Gorsachius	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_028194.1	goisagi	Gorsachius	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025918.1	intermedia	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190946.1	intermedia	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025900.1	cinerea	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190947.1	cinerea	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190948.1	purpurea	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025919.1	purpurea	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190945.1	ibis	Bubulcus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025917.1	ibis	Bubulcus	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_025916.1	modesta	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
KJ190944.1	modesta	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
MH737740.1	insignis	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
NC_040004.1	insignis	Ardea	.	Ardeidae	Pelecaniformes	Sarcopterygii	Chordata	Metazoa	complete
MT880247.1	parvirostris	Prosobonia	.	Scolopacidae	Charadriiformes	Sarcopterygii	Chordata	Metazoa	complete
NC_062960.1	parvirostris	Prosobonia	.	Scolopacidae	Charadriiformes	Sarcopterygii	Chordata	Metazoa	complete
MH737741.1	xanthonotus	Indicator	.	Indicatoridae	Piciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_040005.1	xanthonotus	Indicator	.	Indicatoridae	Piciformes	Sarcopterygii	Chordata	Metazoa	complete
NC_051464.1	ruficeps	Pomatostomus	.	Timaliidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
MN356282.1	ruficeps	Pomatostomus	.	Timaliidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_024873.1	melanocephalus	Malurus	.	Maluridae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
KJ909199.1	melanocephalus	Malurus	.	Maluridae	Passeriformes	Sarcopterygii	Chordata	Metazoa	partial
NC_025612.1	coccineus	Loxops	.	Fringillidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
KM078785.1	coccineus	Loxops	.	Fringillidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
KF509923.1	columbiana	Nucifraga	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_022839.1	columbiana	Nucifraga	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
KX822153.1	moriorum	Corvus	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_031518.1	moriorum	Corvus	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
NC_051558.1	caryocatactes	Nucifraga	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
MT506195.1	caryocatactes	Nucifraga	.	Corvidae	Passeriformes	Sarcopterygii	Chordata	Metazoa	complete
MZ242095.1	kachuga	Batagur	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_069558.1	kachuga	Batagur	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_069559.1	dhongoka	Batagur	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
MZ242096.1	dhongoka	Batagur	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_065016.1	hamiltonii	Geoclemys	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
ON243873.1	hamiltonii	Geoclemys	.	Geoemydidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
DQ080042.1	tornieri	Malacochersus	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_007700.1	tornieri	Malacochersus	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
DQ080041.1	pardalis	Geochelone	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_007694.1	pardalis	Psammobates	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
DQ080049.1	graeca	Testudo	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_007692.1	graeca	Testudo	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_007698.1	marginata	Testudo	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
DQ080047.1	marginata	Testudo	.	Testudinidae	Testudines	Sarcopterygii	Chordata	Metazoa	complete
NC_015617.1	carvalhoi	Pipa	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
HM991332.1	carvalhoi	Pipa	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_021476.1	microdeladigitora	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JX893182.1	microdeladigitora	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JX893183.1	lichuanensis	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_021477.1	lichuanensis	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_009258.1	variegata	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
AY971143.1	variegata	Bombina	.	Bombinatoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN259069.1	mellotropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_044866.1	mellotropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_044867.1	epitropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN259070.1	epitropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_044865.1	calcaratus	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN259068.1	calcaratus	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
AY789013.1	tropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_006839.1	tropicalis	Xenopus	.	Pipidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_027072.1	hochstetteri	Leiopelma	.	Leiopelmatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KJ792087.1	hochstetteri	Leiopelma	.	Leiopelmatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_014691.1	archeyi	Leiopelma	.	Leiopelmatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
HM142901.1	archeyi	Leiopelma	.	Leiopelmatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_061400.1	yunnanensis	Gracixalus	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN792661.1	yunnanensis	Gracixalus	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
AB777219.1	robustus	Trichobatrachus	.	Arthroleptidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_023382.1	robustus	Trichobatrachus	.	Arthroleptidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_044480.1	adspersus	Pyxicephalus	.	Pyxicephalidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MK460224.1	adspersus	Pyxicephalus	.	Pyxicephalidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN869008.1	impresus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_062354.1	impresus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MH936677.1	megacephalus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_043955.1	megacephalus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_062356.1	leucomystax	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN869010.1	leucomystax	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MK687567.1	braueri	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_042797.1	braueri	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MN869009.1	mutus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_062355.1	mutus	Polypedates	.	Rhacophoridae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_029754.1	multistriata	Fejervarya	.	Dicroglossidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KR071859.1	multistriata	Fejervarya	.	Dicroglossidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_020001.1	thomasseti	Sooglossus	.	Sooglossidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JF703233.1	thomasseti	Sooglossus	.	Sooglossidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JF703230.1	melanopyga	Lechriodus	.	Limnodynastidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_019999.1	melanopyga	Lechriodus	.	Limnodynastidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_020002.1	bolivianus	Telmatobius	.	Ceratophryidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JF703234.1	bolivianus	Telmatobius	.	Ceratophryidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KT949346.1	chusmisensis	Telmatobius	.	Ceratophryidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_030333.1	chusmisensis	Telmatobius	.	Ceratophryidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MH087467.1	versicolor	Dryophytes	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_045917.1	versicolor	Dryophytes	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_056366.1	fallax	Leptodactylus	.	Leptodactylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MW260634.1	fallax	Leptodactylus	.	Leptodactylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_019998.1	regis	Heleophryne	.	Heleophrynidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
JF703229.1	regis	Heleophryne	.	Heleophrynidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_067554.1	bahiana	Phyllomedusa	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
OM460708.1	bahiana	Phyllomedusa	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KY962393.1	terribilis	Phyllobates	.	Dendrobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037380.1	terribilis	Phyllobates	.	Dendrobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KY962392.1	subpunctatus	Hyloxalus	.	Dendrobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037379.1	subpunctatus	Hyloxalus	.	Dendrobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KU958559.1	baeobatrachus	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_030054.1	baeobatrachus	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MG264890.1	surinamensis	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037854.1	surinamensis	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MG264891.1	dewynteri	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037855.1	dewynteri	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MG264895.1	blanci	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037857.1	blanci	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037856.1	degranvillei	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MG264892.1	degranvillei	Anomaloglossus	.	Aromobatidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_037378.1	moreirae	Melanophryniscus	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KY962391.1	moreirae	Melanophryniscus	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_036493.1	alvarengai	Bokermannohyla	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KY829114.1	alvarengai	Bokermannohyla	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KX854020.1	suweonensis	Dryophytes	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_032380.1	suweonensis	Dryophytes	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_026524.1	tsinlingensis	Hyla	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
KP212702.1	tsinlingensis	Hyla	.	Hylidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_066225.1	marina	Rhinella	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MZ675575.1	marina	Rhinella	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_047224.1	americanus	Anaxyrus	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
MK855099.1	americanus	Anaxyrus	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
AY458592.1	melanostictus	Bufo	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_005794.2	melanostictus	Bufo	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
NC_008410.1	gargarizans	Bufo	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
DQ275350.1	gargarizans	Bufo	.	Bufonidae	Anura	Sarcopterygii	Chordata	Metazoa	complete
